Url,Module,FE_Service,FE_Action
/adminapi/contractStage/get,contractStage,ContractStageService.ts,detail
/adminapi/contractSubPipeline/update,contractSubPipeline,ContractPipelineService.ts,contractSubPipelineUpdate
/adminapi/contractWarrantyAlert/list,contractWarrantyAlert,ContractService.ts,warrantyAlertList
/adminapi/contractWarrantyAlert/update,contractWarrantyAlert,ContractService.ts,warrantyAlertUpdate
/adminapi/contractWarrantyAttachment/delete,contractWarrantyAttachment,unknown,warrantyAttachmentDelete
/adminapi/contractWarrantyAttachment/list,contractWarrantyAttachment,unknown,warrantyAttachmentList
/adminapi/contractWarrantyAttachment/update,contractWarrantyAttachment,unknown,warrantyAttachmentUpdate
/adminapi/contractWarrantyAttribute/checkDuplicated,contractWarrantyAttribute,unknown,checkDuplicated
/adminapi/contractWarrantyAttribute/delete,contractWarrantyAttribute,unknown,delete
/adminapi/contractWarrantyAttribute/list,contractWarrantyAttribute,unknown,list
/adminapi/contractWarrantyAttribute/listAll,contractWarrantyAttribute,unknown,listAll
/adminapi/contractWarrantyAttribute/update,contractWarrantyAttribute,unknown,update
/adminapi/contractWarrantyExtraInfo/list,contractWarrantyExtraInfo,unknown,list
/adminapi/contractWarrantyType/delete,contractWarrantyType,unknown,warrantyTypeDelete
/adminapi/contractWarrantyType/list,contractWarrantyType,unknown,warrantyTypeList
/adminapi/contractWarrantyType/update,contractWarrantyType,unknown,warrantyTypeUpdate
/adminapi/customer/placeholder,customer,PlaceholderService.ts,customer
/adminapi/customer/reset_to_new,customer,CustomerService.ts,resetDataCustomer
/adminapi/customer/zalo/oa,customer,CustomerService.ts,customerZaloOA
/adminapi/customerAttribute/listFilter,customerAttribute,CustomerService.ts,filterTable
/adminapi/customerCall/list,customerCall,DoctorQnAService.ts,customerCallList
/adminapi/customerEmail/list,customerEmail,HistorySendService.ts,historySendEmail
/adminapi/customerExchange/attachment/list,customerExchange,CustomerService.ts,lstAttachments
/adminapi/customerObject/getTop,customerObject,CustomerService.ts,serviceSuggestionsv2
/adminapi/customerObject/list,customerObject,CustomerService.ts,serviceSuggestions
/adminapi/customerReport/action/list,customerReport,CustomerService.ts,descCustomerReport
/adminapi/customerSms/list,customerSms,HistorySendService.ts,historySendSMS
/adminapi/customerUpload/list,customerUpload,CustomerService.ts,lstUpload
/adminapi/customerView/delete,customerView,CustomerViewService.ts,delete
/adminapi/customerView/list,customerView,CustomerViewService.ts,list
/adminapi/customerView/update,customerView,CustomerViewService.ts,update
/adminapi/customerZalo/list,customerZalo,HistorySendService.ts,historySendZalo
/adminapi/cxmOption/get,cxmOption,CxmOptionService.ts,detail
/adminapi/cxmOption/list,cxmOption,CxmOptionService.ts,list
/adminapi/cxmQuestion/get,cxmQuestion,CxmQuestionService.ts,detail
/adminapi/cxmQuestion/list,cxmQuestion,CxmQuestionService.ts,list
/adminapi/cxmQuestionCondition/delete,cxmQuestionCondition,unknown,delete
/adminapi/cxmQuestionCondition/get,cxmQuestionCondition,unknown,detail
/adminapi/cxmQuestionCondition/list,cxmQuestionCondition,unknown,list
/adminapi/cxmQuestionCondition/update,cxmQuestionCondition,unknown,update
/adminapi/cxmResponse/delete,cxmResponse,unknown,delete
/adminapi/cxmResponse/get,cxmResponse,unknown,detail
/adminapi/cxmResponse/list,cxmResponse,unknown,list
/adminapi/cxmResponse/update,cxmResponse,unknown,update
/adminapi/cxmResponseDetail/delete,cxmResponseDetail,unknown,delete
/adminapi/cxmResponseDetail/get,cxmResponseDetail,unknown,detail
/adminapi/cxmResponseDetail/list,cxmResponseDetail,unknown,list
/adminapi/cxmResponseDetail/update,cxmResponseDetail,unknown,update
/adminapi/cxmSurvey/get,cxmSurvey,CxmSurveyService.ts,detail
/adminapi/diarySurgery/delete,diarySurgery,DiarySurgeryService.ts,delete
/adminapi/diarySurgery/get,diarySurgery,DiarySurgeryService.ts,detail
/adminapi/diarySurgery/listAll,diarySurgery,DiarySurgeryService.ts,list
/adminapi/diarySurgery/update,diarySurgery,DiarySurgeryService.ts,update
/adminapi/earnings/admin/list,earnings,EarningsService.ts,filter
/adminapi/eformAttribute/checkDuplicated,eformAttribute,ContractEformService.ts,checkDuplicated
/adminapi/eformAttribute/delete,eformAttribute,ContractEformService.ts,deleteEformAttribute
/adminapi/eformAttribute/get,eformAttribute,ContractEformService.ts,detailEformAttribute
/adminapi/eformAttribute/list,eformAttribute,ContractEformService.ts,listEformAttribute
/adminapi/eformAttribute/listAll,eformAttribute,ContractEformService.ts,listEformAttributeAll
/adminapi/eformAttribute/update,eformAttribute,ContractEformService.ts,updateEformAttribute
/adminapi/eformExtraInfo/delete,eformExtraInfo,ContractEformService.ts,deleteEformExtraInfo
/adminapi/eformExtraInfo/get,eformExtraInfo,ContractEformService.ts,detailEformExtraInfo
/adminapi/eformExtraInfo/list,eformExtraInfo,ContractEformService.ts,listEformExtraInfo
/adminapi/eformExtraInfo/update,eformExtraInfo,ContractEformService.ts,updateEformExtraInfo
/adminapi/eformExtraInfo/update/position,eformExtraInfo,ContractEformService.ts,updateEformExtraInfoPosition
/adminapi/email/testConnection,email,EmailConfigService.ts,checkEmail
/adminapi/emailConfig/get,emailConfig,unknown,detail
/adminapi/emailRequest/approve,emailRequest,SendEmailService.ts,approveEmail
/adminapi/emailRequest/cancel,emailRequest,SendEmailService.ts,cancelEmail
/adminapi/emailRequest/delete,emailRequest,SendEmailService.ts,deleteEmail
/adminapi/emailRequest/get,emailRequest,SendEmailService.ts,detailEmail
/adminapi/emailRequest/list,emailRequest,SendEmailService.ts,listEmail
/adminapi/emailRequest/update,emailRequest,SendEmailService.ts,updateEmail
/adminapi/employeeAgent/delete,employeeAgent,EmployeeAgentService.ts,delete
/adminapi/employeeAgent/employeeId,employeeAgent,CustomerService.ts,getAccountCall
/adminapi/employeeAgent/list,employeeAgent,EmployeeAgentService.ts,list
/adminapi/employeeAgent/update,employeeAgent,EmployeeAgentService.ts,update
/adminapi/fanpage/connect,fanpage,FanpageFacebookService.ts,connect
/adminapi/fanpage/list,fanpage,FanpageFacebookService.ts,list
/adminapi/fanpage/remove,fanpage,FanpageFacebookService.ts,delete
/adminapi/fanpage/update,fanpage,FanpageFacebookService.ts,update
/adminapi/fanpageChat/list,fanpageChat,FanpageFacebookService.ts,listFanpageChat
/adminapi/fanpageChat/reply,fanpageChat,FanpageFacebookService.ts,replyFanpageChat
/adminapi/fanpageChat/send/attachment,fanpageChat,FanpageFacebookService.ts,fanpageChatSendAttachment
/adminapi/fanpageComment/delete,fanpageComment,FanpageFacebookService.ts,deleteFanpageComment
/adminapi/fanpageComment/hidden,fanpageComment,FanpageFacebookService.ts,hiddenFanpageComment
/adminapi/fanpageComment/list,fanpageComment,FanpageFacebookService.ts,listFanpageComment
/adminapi/fanpageComment/reply,fanpageComment,FanpageFacebookService.ts,replyFanpageComment
/adminapi/fanpageDialog/list,fanpageDialog,FanpageFacebookService.ts,listFanpageDialog
/adminapi/fanpagePost/get,fanpagePost,FanpageFacebookService.ts,fanpagePost
/adminapi/feedback/delete,feedback,ChatBotService.ts,delete
/adminapi/feedback/list/all,feedback,FeedbackService.ts,lst
/adminapi/feedback/update,feedback,FeedbackService.ts,update
/adminapi/feedback/update/status,feedback,FeedbackService.ts,changeStatus
/adminapi/filter-setting,filter-setting,CustomerService.ts,filterLstCustomer
/adminapi/filter-setting/customers/attributes,filter-setting,CustomerService.ts,customerAttributes
/adminapi/fs/clone,fs,FSQuoteService.ts,cloneFs
/adminapi/fs/delete,fs,FSQuoteService.ts,delete
/adminapi/fs/get,fs,FSQuoteService.ts,detail
/adminapi/fs/list,fs,FSQuoteService.ts,lst
/adminapi/fs/update,fs,FSQuoteService.ts,update
/adminapi/fs/update-and-init,fs,FSQuoteService.ts,updateAndInit
/adminapi/fs/update/status,fs,FSQuoteService.ts,updateStatus
/adminapi/fsForm/delete,fsForm,FSQuoteService.ts,fsFormDelete
/adminapi/fsForm/list,fsForm,FSQuoteService.ts,fsFormLst
/adminapi/fsForm/update,fsForm,FSQuoteService.ts,fsFormUpdate
/adminapi/fsForm/update/position,fsForm,FSQuoteService.ts,fsFormUpdatePostion
/adminapi/gift/delete,gift,unknown,delete
/adminapi/gift/list,gift,unknown,list
/adminapi/gift/update,gift,unknown,update
/adminapi/gift/update_objectid,gift,unknown,updateObjectId
/adminapi/globalConfig/delete,globalConfig,ConfigCodeService.ts,delete
/adminapi/globalConfig/get,globalConfig,ConfigCodeService.ts,detail
/adminapi/globalConfig/list,globalConfig,ConfigCodeService.ts,list
/adminapi/globalConfig/update,globalConfig,ConfigCodeService.ts,update
/adminapi/guarantee/export/attributes,guarantee,ContractGuaranteeService.ts,exAttributes
/adminapi/guarantee/export/randomGuarantees,guarantee,ContractGuaranteeService.ts,numberFieldGuarantee
/adminapi/guarantee/import,guarantee,ContractGuaranteeService.ts,downloadFile
/adminapi/guarantee/import/autoProcess,guarantee,ContractGuaranteeService.ts,autoProcess
/adminapi/guarantee/placeholder,guarantee,PlaceholderService.ts,guarantee
/adminapi/guarantee/statistical,guarantee,unknown,statistical
/adminapi/guaranteeAttribute/checkDuplicated,guaranteeAttribute,unknown,checkDuplicated
/adminapi/guaranteeAttribute/listAll,guaranteeAttribute,unknown,listAll
/adminapi/integrationConfig/delete,integrationConfig,IntegrationPartnerService.ts,delete
/adminapi/integrationConfig/update,integrationConfig,IntegrationPartnerService.ts,update
/adminapi/integrationLog/list,integrationLog,IntegrationPartnerService.ts,logList
/adminapi/integrationLog/update/status,integrationLog,IntegrationPartnerService.ts,updateStatus
/adminapi/integrationPartner/list,integrationPartner,IntegrationPartnerService.ts,list
/adminapi/investor/get,investor,unknown,detail_investor
/adminapi/investor/update,investor,unknown,update_investor
/adminapi/invoice/card-service/top,invoice,ReportService.ts,cardService
/adminapi/invoice/city/top,invoice,ReportService.ts,city
/adminapi/invoice/code,invoice,InvoiceService.ts,invoiceCode
/adminapi/invoice/create,invoice,InvoiceService.ts,create
/adminapi/invoice/debt,invoice,InvoiceService.ts,debtInvoice
/adminapi/invoice/employee/top,invoice,ReportService.ts,employee
/adminapi/invoice/get/sales,invoice,unknown,sales
/adminapi/invoice/list/v2,invoice,InvoiceService.ts,list
/adminapi/invoice/product/top,invoice,ReportService.ts,product
/adminapi/invoice/service/top,invoice,ReportService.ts,service
/adminapi/invoice/update/temp,invoice,InvoiceService.ts,temporarilyInvoice
/adminapi/invoice/using/card,invoice,InvoiceService.ts,historyUseCard
/adminapi/invoiceDetail/cardService,invoiceDetail,InvoiceService.ts,cardService
/adminapi/invoiceDetail/customer,invoiceDetail,InvoiceService.ts,invoiceDetailCustomer
/adminapi/invoiceDetail/import,invoiceDetail,InvoiceService.ts,invoiceDetail
/adminapi/invoiceDetail/list,invoiceDetail,InvoiceService.ts,invoiceDetailList
/adminapi/kpi/delete,kpi,KpiService.ts,delete
/adminapi/kpi/list,kpi,KpiService.ts,list
/adminapi/kpi/update,kpi,KpiService.ts,update
/adminapi/kpiApply/delete,kpiApply,KpiApplyService.ts,delete
/adminapi/kpiApply/get/byCampaignId,kpiApply,KpiService.ts,checkKpiCampaign
/adminapi/kpiApply/list,kpiApply,KpiApplyService.ts,list
/adminapi/kpiApply/update,kpiApply,KpiApplyService.ts,update
/adminapi/kpiDatasource/delete,kpiDatasource,KpiDatasourceService.ts,delete
/adminapi/kpiDatasource/update,kpiDatasource,KpiDatasourceService.ts,update
/adminapi/kpiExchange/delete,kpiExchange,KpiObjectService.ts,deleteKpiExchange
/adminapi/kpiExchange/get,kpiExchange,KpiObjectService.ts,updateKpiExchange
/adminapi/kpiExchange/update,kpiExchange,KpiObjectService.ts,addKpiExchange
/adminapi/kpiGoal/get,kpiGoal,KpiGoalService.ts,detail
/adminapi/kpiGoal/list,kpiGoal,KpiGoalService.ts,list
/adminapi/kpiObject/employee/result,kpiObject,KpiObjectService.ts,detailKpiEmployee
/adminapi/kpiObject/get,kpiObject,KpiObjectService.ts,detail
/adminapi/kpiObject/get/byObject,kpiObject,KpiService.ts,addEmployeeToKpi
/adminapi/kpiObject/update/web,kpiObject,KpiObjectService.ts,update
/adminapi/kpiSetup/update/web,kpiSetup,KpiSetupService.ts,update
/adminapi/kpiSetupObject/list/byKotId,kpiSetupObject,KpiService.ts,listGoalKpiEmployee
/adminapi/kpiSetupObject/update/web,kpiSetupObject,KpiService.ts,saveKpiEmployee
/adminapi/kpiTemplateGoal/list,kpiTemplateGoal,KpiTemplateGoalService.ts,list
/adminapi/ma/config-node/update,ma,MarketingAutomationService.ts,addNode
/adminapi/ma/config/get,ma,MarketingAutomationService.ts,detailConfigMA
/adminapi/ma/config/update,ma,MarketingAutomationService.ts,updateNode
/adminapi/ma/customer/get,ma,MarketingAutomationService.ts,listCustomerByType
/adminapi/ma/detail,ma,MarketingAutomationService.ts,detailMA
/adminapi/ma/node/delete,ma,MarketingAutomationService.ts,deleteNode
/adminapi/ma/statistic/byDate,ma,MarketingAutomationService.ts,listCustomerByDate
/adminapi/ma/statistic/custCard,ma,MarketingAutomationService.ts,listCustomerByCustCard
/adminapi/ma/statistic/custCareer,ma,MarketingAutomationService.ts,listCustomerByCareer
/adminapi/ma/statistic/custGroup,ma,MarketingAutomationService.ts,listCustomerByCustGroup
/adminapi/ma/update-config,ma,MarketingAutomationService.ts,updateConfigNode
/adminapi/ma/update/status,ma,MarketingAutomationService.ts,updateStatus
/adminapi/maCustomer/customers,maCustomer,MarketingAutomationService.ts,listCustomer
/adminapi/maCustomer/delete,maCustomer,MarketingAutomationService.ts,deleteCustomer
/adminapi/maCustomer/result,maCustomer,MarketingAutomationService.ts,detailCustomer
/adminapi/maMapping/get,maMapping,MarketingAutomationService.ts,detailMapping
/adminapi/maMapping/update,maMapping,MarketingAutomationService.ts,updateMapping
/adminapi/mailbox/delete,mailbox,MailboxService.ts,delete
/adminapi/mailbox/get,mailbox,MailboxService.ts,detail
/adminapi/mailbox/update,mailbox,MailboxService.ts,update
/adminapi/mailbox/update/viewer,mailbox,MailboxService.ts,updateViewer
/adminapi/mailbox/viewer,mailbox,MailboxService.ts,viewer
/adminapi/mailboxExchange/delete,mailboxExchange,MailboxService.ts,mailboxExchangeDelete
/adminapi/mailboxExchange/update,mailboxExchange,MailboxService.ts,mailboxExchangeUpdate
/adminapi/marketing/delete,marketing,CampaignMarketingService.ts,delete
/adminapi/marketing/get,marketing,CampaignMarketingService.ts,detail
/adminapi/marketing/list,marketing,CampaignMarketingService.ts,list
/adminapi/marketing/update,marketing,CampaignMarketingService.ts,update
/adminapi/marketing/update/status,marketing,CampaignMarketingService.ts,updateStatus
/adminapi/marketingBudget/delete,marketingBudget,CampaignMarketingService.ts,delete
/adminapi/marketingBudget/get,marketingBudget,CampaignMarketingService.ts,detail
/adminapi/marketingBudget/list,marketingBudget,CampaignMarketingService.ts,list
/adminapi/marketingBudget/update,marketingBudget,CampaignMarketingService.ts,update
/adminapi/marketingBudget/update/status,marketingBudget,CampaignMarketingService.ts,updateStatus
/adminapi/marketingChannel/delete,marketingChannel,CampaignMarketingService.ts,delete
/adminapi/marketingChannel/get,marketingChannel,CampaignMarketingService.ts,detail
/adminapi/marketingChannel/list,marketingChannel,CampaignMarketingService.ts,list
/adminapi/marketingChannel/update,marketingChannel,CampaignMarketingService.ts,update
/adminapi/marketingMeasurement/delete,marketingMeasurement,CampaignMarketingService.ts,delete
/adminapi/marketingMeasurement/get,marketingMeasurement,CampaignMarketingService.ts,detail
/adminapi/marketingMeasurement/list,marketingMeasurement,CampaignMarketingService.ts,list
/adminapi/marketingMeasurement/update,marketingMeasurement,CampaignMarketingService.ts,update
/adminapi/marketingReport/delete,marketingReport,CampaignMarketingService.ts,delete
/adminapi/marketingReport/get,marketingReport,CampaignMarketingService.ts,detail
/adminapi/marketingReport/list,marketingReport,CampaignMarketingService.ts,list
/adminapi/marketingReport/update,marketingReport,CampaignMarketingService.ts,update
/adminapi/module/delete,module,SubsystemAdministrationService.ts,delete
/adminapi/module/get,module,SubsystemAdministrationService.ts,detail
/adminapi/module/list,module,SubsystemAdministrationService.ts,list
/adminapi/module/update,module,SubsystemAdministrationService.ts,update
/adminapi/moduleResource/add,moduleResource,SubsystemAdministrationService.ts,addModuleResource
/adminapi/moduleResource/remove,moduleResource,SubsystemAdministrationService.ts,removeModuleResource
/adminapi/objectFeature/delete,objectFeature,ObjectFeatureService.ts,delete
/adminapi/objectFeature/detail,objectFeature,ObjectFeatureService.ts,detail
/adminapi/objectFeature/update,objectFeature,ObjectFeatureService.ts,update
/adminapi/offer/create,offer,unknown,create
/adminapi/offer/debt,offer,unknown,debtOffer
/adminapi/offer/delete,offer,unknown,cancelOffer
/adminapi/offer/list/v2,offer,unknown,list
/adminapi/offer/update/temp,offer,unknown,temporarilyOffer
/adminapi/offerCardService/delete,offerCardService,unknown,delete
/adminapi/offerCardService/list,offerCardService,unknown,list
/adminapi/offerCardService/update,offerCardService,unknown,add
/adminapi/offerCardService/update/cardNumber,offerCardService,unknown,update
/adminapi/offerDetail/cardService,offerDetail,unknown,cardService
/adminapi/offerDetail/customer,offerDetail,unknown,offerDetailCustomer
/adminapi/offerDetail/import,offerDetail,unknown,offerDetail
/adminapi/offerDetail/list,offerDetail,unknown,offerDetailList
/adminapi/offerProduct/delete,offerProduct,unknown,delete
/adminapi/offerProduct/get,offerProduct,unknown,detail
/adminapi/offerProduct/getBoughtProductByCustomerId,offerProduct,unknown,getByCustomer
/adminapi/offerProduct/list,offerProduct,unknown,list
/adminapi/offerProduct/update,offerProduct,unknown,addToInvoice
/adminapi/offerService/delete,offerService,unknown,delete
/adminapi/offerService/get,offerService,unknown,detail
/adminapi/offerService/getBoughtServiceByCustomerId,offerService,unknown,getByCustomer
/adminapi/offerService/update,offerService,unknown,addToInvoice
/adminapi/opportunity/delete,opportunity,CustomerService.ts,deleteOpportunity
/adminapi/opportunity/get,opportunity,CustomerService.ts,detailOpportunity
/adminapi/opportunity/update,opportunity,CustomerService.ts,createOpportunity
/adminapi/opportunityEform/get/criteria,opportunityEform,CampaignOpportunityService.ts,opportunityEformDetail
/adminapi/opportunityEform/update,opportunityEform,CampaignOpportunityService.ts,opportunityEformUpdate
/adminapi/opportunityExchange/get,opportunityExchange,CampaignOpportunityService.ts,updateOpportunityExchange
/adminapi/opportunityProcess,opportunityProcess,CampaignService.ts,convertRate
/adminapi/order-request/delete-soft,order-request,unknown,delete
/adminapi/order-request/export,order-request,unknown,export
/adminapi/order-request/get,order-request,unknown,detail
/adminapi/order-request/list,order-request,unknown,list
/adminapi/order-request/list-one,order-request,unknown,listOne
/adminapi/order-request/update,order-request,unknown,update
/adminapi/order-request/update-and-init,order-request,unknown,updateAndInit
/adminapi/order/delete,order,OrderService.ts,delete
/adminapi/order/get,order,OrderService.ts,detail
/adminapi/order/list,order,OrderService.ts,list
/adminapi/order/update,order,OrderService.ts,update
/adminapi/outlookMail/delete,outlookMail,EmailService.ts,delete
/adminapi/outlookMail/get,outlookMail,EmailService.ts,detail
/adminapi/outlookMail/list,outlookMail,EmailService.ts,list
/adminapi/outlookMail/sendEmail,outlookMail,EmailService.ts,sendEmail
/adminapi/packagePermission/add,packagePermission,RolePermissionService.ts,packagePermissionAdd
/adminapi/packagePermission/info,packagePermission,RolePermissionService.ts,packagePermission
/adminapi/partnerCall/delete,partnerCall,PartnerCallService.ts,delete
/adminapi/partnerCall/get,partnerCall,unknown,detail
/adminapi/partnerCall/list,partnerCall,PartnerCallService.ts,list
/adminapi/partnerCall/update,partnerCall,PartnerCallService.ts,update
/adminapi/partnerEmail/delete,partnerEmail,PartnerEmailService.ts,delete
/adminapi/partnerEmail/get,partnerEmail,unknown,detail
/adminapi/partnerEmail/list,partnerEmail,PartnerEmailService.ts,list
/adminapi/partnerEmail/update,partnerEmail,PartnerEmailService.ts,update
/adminapi/partnerSms/delete,partnerSms,PartnerSMSService.ts,delete
/adminapi/partnerSms/get,partnerSms,unknown,detail
/adminapi/partnerSms/list,partnerSms,PartnerSMSService.ts,list
/adminapi/partnerSms/update,partnerSms,PartnerSMSService.ts,update
